graph,algorithm,crossings,crossings_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length,mean_edge_length_pct_vs_baseline,mean_edge_length_pct_vs_ebc,path_continuity,path_continuity_pct_vs_baseline,path_continuity_pct_vs_ebc,runtime_s
ugandan_village/friendship-15,EBC,1413,-4.976462676529926,0.0,0.1138758099603982,-11.06566212089754,0.0,67.22125267288143,1.3322656533814436,0.0,8.98
ugandan_village/friendship-13,EBC,25332,-5.604411983902221,0.0,0.087549383227543,-42.274412418770424,0.0,79.42001814304925,-0.7410640776046473,0.0,53.91
ugandan_village/friendship-17,EBC,2230,-4.12725709372313,0.0,0.0975840121321971,-36.82110434942335,0.0,62.43352302289422,2.790979829584929,0.0,5.69
ugandan_village/friendship-14,EBC,8851,-8.270287076380972,0.0,0.0850247993117994,-44.77429411214794,0.0,74.74447750957415,1.6779549012305943,0.0,62.02
ugandan_village/friendship-7,EBC,26852,-4.624564893088016,0.0,0.1201836746268163,-41.39196458351548,0.0,77.38130945350986,-0.20382351288697045,0.0,76.23
ugandan_village/health-advice_2,EBC,3027,-15.564853556485355,0.0,0.0953175989643688,-22.722471474703976,0.0,62.645606989972755,0.033309953492544044,0.0,17.81
ugandan_village/friendship-6,EBC,14667,-8.491390067382081,0.0,0.095079709607418,-36.66238888116685,0.0,75.70581779365223,4.5074350610327745,0.0,98.43
ugandan_village/health-advice_5,EBC,2759,-13.942607610729882,0.0,0.1201666811860006,7.134883541443635,0.0,62.426481217223504,1.6365088863828126,0.0,12.93
ugandan_village/health-advice_6,EBC,1439,-21.323127392017497,0.0,0.0980745729070231,-22.557621230135222,0.0,60.81013431068613,-1.7723452329154696,0.0,8.92
ugandan_village/health-advice_1,EBC,3729,-15.499660095173352,0.0,0.0972149617249281,-17.37829647817101,0.0,68.68063503385021,5.599812631749338,0.0,33.56
ugandan_village/health-advice_7,EBC,8418,-4.090235843682351,0.0,0.090532038739206,-40.320713539897454,0.0,75.00529554645331,0.9227369966162852,0.0,19.43
ugandan_village/health-advice_3,EBC,15343,-9.37389249852333,0.0,0.0840833530039702,-29.670481714222273,0.0,67.19302928021384,-0.0016166890092849562,0.0,37.51
ugandan_village/health-advice_13,EBC,1044,-3.867403314917127,0.0,0.1089095592665777,-5.712480440001208,0.0,67.03899252869732,5.852193075504621,0.0,8.48
ugandan_village/health-advice_9,EBC,12111,-6.471542204031199,0.0,0.1455156021573342,3.8028717509578933,0.0,66.63795862202458,2.8160256792260645,0.0,32.99
ugandan_village/health-advice_15,EBC,339,-3.4188034188034186,0.0,0.11687296961721,-0.45261580805422685,0.0,54.55431784401493,-0.7520837731262837,0.0,2.88
ugandan_village/health-advice_12,EBC,6004,-6.143504767859934,0.0,0.1184324996390183,-8.499056210587744,0.0,70.43103331988044,-0.5221036897714513,0.0,19.92
ugandan_village/health-advice_17,EBC,396,-12.0,0.0,0.1505269714719746,-4.772902790408834,0.0,60.37279525290792,1.0186500438901687,0.0,1.62
ugandan_village/health-advice_14,EBC,2274,-25.589005235602095,0.0,0.0874203503019335,-34.140109641473124,0.0,70.37146678953209,0.36142398499679607,0.0,14.09
ugandan_village/health-advice_11,EBC,4563,-15.027932960893855,0.0,0.0833688753282392,-25.300363849658908,0.0,67.10059974830895,3.7400178072770136,0.0,37.7
urban_streets/brasilia,EBC,4,0.0,0.0,0.0431459838681082,1.934190490520626,0.0,46.83724242482788,-0.033842286232395366,0.0,5.6
urban_streets/irvine2,EBC,1,-88.88888888888889,0.0,0.0441689480644635,12.9232819313017,0.0,44.78092942970156,-1.810269834633068,0.0,3.1
ugandan_village/friendship-12,EBC,26059,-1.1231265414532348,0.0,0.0819594712221756,-38.2046168117469,0.0,74.45916014994499,2.1782919305454502,0.0,150.16
urban_streets/los-angeles,EBC,6,-33.333333333333336,0.0,0.0420353941352983,-4.176304422033981,0.0,48.286283156209855,-1.0842629177338652,0.0,11.42
ugandan_village/health-advice_10,EBC,21057,-13.310004116920544,0.0,0.0884475101109893,-24.866843685769027,0.0,70.77041507019828,-0.24706541576927232,0.0,78.92
urban_streets/new-delhi,EBC,1,-50.0,0.0,0.037486977504163,2.42916194873134,0.0,49.649789272660456,0.4322580553938256,0.0,13.18
urban_streets/new-york,EBC,31,-47.45762711864407,0.0,0.0484177960438651,-4.072108166405322,0.0,44.6692570003239,0.6994694586255049,0.0,18.51
urban_streets/walnut-creek,EBC,0,-100.0,,0.0385466380719909,-14.832897300811922,0.0,50.69817693291443,1.965582712087927,0.0,8.31
urban_streets/london,EBC,3,-25.0,0.0,0.0296219010526367,1.039239591716868,0.0,48.59824580266278,-0.1638603174845131,0.0,49.73
zebras,EBC,464,-19.16376306620209,0.0,0.1079988065100058,-30.555972030069196,0.0,34.6348722875158,19.5260296868388,0.0,2.63
windsurfers,EBC,4126,-8.331481892912686,0.0,0.2282135588015905,-3.4029575995925447,0.0,28.812695616394706,-20.212711466431053,0.0,12.68
urban_streets/vienna,EBC,4,0.0,0.0,0.0359569164055833,0.8686138965856325,0.0,48.84588808351097,0.4086067814470534,0.0,36.2
urban_streets/savannah,EBC,2,0.0,0.0,0.0293298226882334,-2.2603755660096168,0.0,46.06858898856056,0.28546841243079096,0.0,67.23
urban_streets/bologna,EBC,11,-35.294117647058826,0.0,0.0272012716065994,-0.789912175006858,0.0,48.98297820023125,1.1487660015226813,0.0,120.76
ugandan_village/health-advice_16,EBC,16891,-16.44323522137027,0.0,0.0936337353399316,-16.471167967679087,0.0,71.3114232296432,7.144278768078947,0.0,148.51
ceo_club,crossing,158,-9.714285714285714,-2.4691358024691357,0.2337618517792809,4.726401836351365,23.837534091521633,78.5865370298844,3.7076250334195717,3.4245863654341773,1.93
dolphins,crossing,228,-10.9375,1.3333333333333333,0.0926096222962636,1.948546689844109,-11.188820975474508,41.13000243746746,-1.0292779008923578,-9.283996168655381,2.63
dutch_criticism,crossing,155,-16.216216216216218,20.155038759689923,0.1487538480787114,12.742794176393017,53.00757828649038,53.4078788633897,6.69228085300531,8.671232920335,0.89
elite,crossing,153,-10.526315789473685,22.4,0.176722955860149,0.5225567750042479,6.496209463072378,61.17691819718636,-2.1791970351731167,-0.7405048050312533,1.15
blumenau_drug,crossing,544,-16.178736517719567,-7.482993197278912,0.1506006332443349,17.07874847033644,46.2743265885707,61.69325973877259,0.9262477332989159,-5.51485733202798,9.13
cs_department,crossing,2985,-0.9950248756218906,-0.9950248756218906,0.1864766529763165,8.479298208750764,16.593599488783546,49.66908703746033,5.0770605472719055,7.154320874844488,13.64
fullerene_structures/C180,crossing,80,-4.761904761904762,-2.4390243902439024,0.0905975962291256,1.249381475327658,0.46558329857448405,60.87311871991378,0.09255902309533195,0.6809932964380364,5.84
adjnoun,crossing,6149,-9.239852398523984,-0.9822866344605475,0.1419020724916041,-3.7959011164789698,57.07987331862374,65.92061630777287,1.370295460552479,0.9720100951092402,24.16
fullerene_structures/C240,crossing,109,-0.9090909090909091,-0.9090909090909091,0.0784009789037382,0.6385036300258533,0.827342654575389,60.68310355573825,-0.1469921631512221,0.11629339351513202,11.03
fullerene_structures/C260,crossing,122,-5.426356589147287,-2.4,0.0742802559921876,1.376006695026615,-0.023198063103496314,60.797628547623816,0.18254246980263178,0.037568592791802025,14.08
celegans_interactomes/BPmaps,crossing,117,-27.32919254658385,30.0,0.0507589080386697,8.654969768268748,23.677966307320197,50.200125382879556,-0.9041599581600482,-3.236779393696923,37.84
football,crossing,5059,-8.68231046931408,10.651793525809273,0.185393227308437,1.086559731762222,19.18384045109212,66.64318147598257,3.402757478355001,-0.5241225402704657,45.43
fullerene_structures/C60,crossing,21,-12.5,-4.545454545454546,0.1458348068984651,-5.82350306411937,-1.9777769480297196,63.63316838626132,0.49233354608060764,0.20741414706165565,0.67
football_tsevans,crossing,5059,-8.68231046931408,10.651793525809273,0.185393227308437,1.086559731762222,19.18384045109212,66.64318147598257,3.402757478355001,-0.5241225402704657,44.38
facebook_organizations/S2,crossing,8432,-5.534393905444768,-0.42512990080302315,0.1019453137376596,4.019133606796003,13.214007505963465,50.74580756672857,2.4075190115802174,-1.0411972950448585,50.71
kangaroo,crossing,449,-3.648068669527897,6.65083135391924,0.2374027371420363,1.2314237990245038,60.73742217597419,24.008445813081895,11.377545580865286,-9.095308381504662,0.84
karate/77,crossing,58,-13.432835820895523,11.538461538461538,0.1611186444841136,6.262073433864981,31.125664816655853,39.71940016554348,2.1636207410467607,5.7643719830949935,0.48
karate/78,crossing,62,-8.823529411764707,8.771929824561404,0.1657413732098339,3.007607103576629,30.26325784161932,43.47226821542439,13.366770413801468,15.95292549617953,0.44
fullerene_structures/C320,crossing,153,-5.555555555555555,0.0,0.0681717023371057,2.3202322821297434,6.158424935418998,60.92982620200076,0.5137833039247834,2.6479012815297347,26.75
game_thrones,crossing,1838,-17.57847533632287,1.4908890115958033,0.1070018790356286,13.376552346161553,15.629768533262036,46.861238210779895,1.779606868125181,-0.8857029181880577,9.66
lesmis,crossing,684,-7.816711590296496,-0.145985401459854,0.1013705338398376,-4.231923735824806,24.801097945979187,44.86825124376622,-0.757140235220981,-3.058696316390218,6.58
malaria_genes/HVR_3,crossing,60,-3.225806451612903,20.0,0.1400949247479514,-10.317223238719805,-3.4304907457633913,21.21040512070599,-11.12236826265875,14.280416436874406,0.23
interactome_pdz,crossing,73,-17.045454545454547,-3.9473684210526314,0.0679712841420977,0.08974325914073136,13.441622706327914,48.03803469591912,1.4762859788068372,-7.2526085173049255,10.63
marvel_partnerships,crossing,14,-33.333333333333336,55.55555555555556,0.0392151785514101,4.983783416757126,26.158484369578844,46.360436459799566,-1.5580052393605628,-8.577738335831976,4.85
