graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
mist/ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,"edge_relaxation(kr=0.1,kw=0.05)",4,0.06308036608815477,0.00304450764677543,42.53181505735761,6.71,ok
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,baseline,12,0.042560804681944404,0.0005079244816840823,50.29932376251113,0.15,ok
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,"edge_relaxation(kr=0.1,kw=0.05)",8,0.03835075303369144,0.0005057230828900514,51.90849293567697,4.62,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,baseline,172,0.17776014019826383,0.00428515508872102,44.752103056425696,0.01,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,"edge_relaxation(kr=0.1,kw=0.05)",160,0.15676264920599609,0.007372450552421922,51.17818206802862,1.05,ok
new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,baseline,113,0.29255158927703184,0.009087950073728103,26.45610797754812,0.0,ok
new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,"edge_relaxation(kr=0.1,kw=0.05)",83,0.32785310868018885,0.01952409829499596,31.783796636223958,0.49,ok
november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,baseline,101,0.20987144298678082,0.006147211468201058,34.885181413787876,0.0,ok
november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,"edge_relaxation(kr=0.1,kw=0.05)",94,0.1501903415995324,0.007390058082842774,34.66535390334383,0.29,ok
plant_pol_vazquez/All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,baseline,249,0.17608746253349253,0.003316065058682129,55.47125870493619,0.04,ok
plant_pol_vazquez/All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,"edge_relaxation(kr=0.1,kw=0.05)",189,0.11121488810208109,0.0039778103351667225,57.664850616501795,4.08,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,baseline,2415,0.09603791525536547,0.0018720315865550492,38.0322158055845,0.05,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,"edge_relaxation(kr=0.1,kw=0.05)",2317,0.08825473608698788,0.003120421312430523,38.95751637011723,20.06,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,baseline,5,0.15560439476489768,0.002947241773425864,37.638129168178736,0.3,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,"edge_relaxation(kr=0.1,kw=0.05)",5,0.13519823189043173,0.0038334258459504222,35.80570470684456,2.43,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,baseline,159,0.10667544354126017,0.0021952035404277314,44.405037395546465,0.01,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,"edge_relaxation(kr=0.1,kw=0.05)",151,0.09485610644890924,0.00299114704904248,50.182545573173925,1.53,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,baseline,1077,0.10545090474624026,0.0027321391857446503,37.6568706963345,0.02,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,"edge_relaxation(kr=0.1,kw=0.05)",879,0.0866025457207115,0.002757099399979629,40.4097617356998,4.32,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,baseline,7403,0.13672741170465036,0.0026901140759733122,74.85479534224507,0.15,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,"edge_relaxation(kr=0.1,kw=0.05)",7278,0.13421084283479406,0.002556823147355475,73.86031761323551,17.67,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,baseline,17589,0.14483548409340188,0.0033049758891919236,76.23938749259452,0.12,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,"edge_relaxation(kr=0.1,kw=0.05)",16736,0.0948771961459555,0.0023580062754321733,75.63101920656474,40.93,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,baseline,17681,0.12497135829237806,0.0027873634733759146,76.30220236657523,0.3,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,"edge_relaxation(kr=0.1,kw=0.05)",16246,0.0855357269986695,0.002558130185672894,74.36359177927092,73.78,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,baseline,16132,0.15149218841928128,0.004045752893074811,72.7052242447101,0.13,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,"edge_relaxation(kr=0.1,kw=0.05)",15487,0.08764865621046729,0.0017998501486751006,72.01881567661003,25.47,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,baseline,28057,0.20869581896417844,0.007708562412497391,77.79058227456851,0.06,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,"edge_relaxation(kr=0.1,kw=0.05)",26788,0.11433227853767661,0.00388652547148233,77.61678098827474,89.02,ok
