graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ugandan_village/health-advice_9,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",173,623,collapse_repair,11251,0.14958548464881663,0.007498476056886082,67.47261882436945,9.14,ok
ugandan_village/health-advice_15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",117,196,collapse_repair,287,0.10185765079503255,0.00839104641814945,67.01555303231073,1.44,ok
ugandan_village/health-advice_17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",63,146,collapse_repair,427,0.19612057422117088,0.01375461939253097,59.591880448752065,1.2,ok
urban_streets/brasilia,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",179,230,collapse_repair,9,0.039055519387383046,0.0007115212046796061,45.620902757641545,1.21,ok
urban_streets/irvine2,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",178,189,collapse_repair,6,0.02485934127401416,0.0006227227778665751,42.18246435546781,1.05,ok
ugandan_village/health-advice_11,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",234,527,collapse_repair,4216,0.13994193969626254,0.009823088328613103,69.50946900714338,10.25,ok
ugandan_village/health-advice_12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",218,534,collapse_repair,5856,0.13998926130967795,0.00930506249341343,74.95935142363244,9.97,ok
urban_streets/new-delhi,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",252,328,collapse_repair,0,0.03862739139350778,0.00046313119462544,49.04321935698403,1.14,ok
ugandan_village/health-advice_10,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",204,820,collapse_repair,20093,0.1428446993345,0.008852680257891318,71.56605286291601,14.12,ok
urban_streets/los-angeles,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",240,339,collapse_repair,6,0.037980771657076154,0.00043315835214925334,48.094876461616295,2.01,ok
urban_streets/new-york,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",248,418,collapse_repair,30,0.04217684717898401,0.0004914387209777655,43.87180410320481,2.68,ok
urban_streets/bologna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",541,771,collapse_repair,14,0.027825567027373276,0.0002378550028812329,48.5401438691762,7.56,ok
urban_streets/walnut-creek,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",169,196,collapse_repair,2,0.03038971330691087,0.0005077888445300656,48.46293764992536,1.17,ok
zebras,"[""Animal"", ""Metadata"", ""Social"", ""Unweighted""]",23,105,collapse_repair,339,0.1769646269464381,0.02604097899997727,54.58365136115733,0.27,ok
urban_streets/london,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",488,729,collapse_repair,2,0.027325877991948046,0.00017028294117353245,47.95672883871459,5.52,ok
windsurfers,"[""Offline"", ""Social"", ""Weighted""]",43,336,collapse_repair,4033,0.2096323527901563,0.01833989493509536,21.591174528521858,1.94,ok
urban_streets/vienna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",467,691,collapse_repair,1,0.028699027155098894,0.00020084217837001398,48.51383564056835,5.0,ok
urban_streets/savannah,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",584,958,collapse_repair,40,0.02890531654284037,0.0001944473869582613,45.32189396999336,8.24,ok
ugandan_village/health-advice_16,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",349,862,collapse_repair,16159,0.1395251379214276,0.009062936151171524,70.47546085830616,18.67,ok
