graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ugandan_village/health-advice_13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",157,286,cf_cross_sep,689,0.09367291621287288,0.004229740278028157,68.77506941218597,27.39,ok
ugandan_village/health-advice_9,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",173,623,cf_cross_sep,8993,0.14735759496353945,0.009203193499390134,74.66116336798353,56.49,ok
ugandan_village/health-advice_17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",63,146,cf_cross_sep,300,0.1627278402641877,0.011814050571036856,72.67706370007599,8.74,ok
ugandan_village/health-advice_15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",117,196,cf_cross_sep,192,0.11412373851624102,0.008503676315664104,63.185203146303614,15.46,ok
ugandan_village/health-advice_11,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",234,527,cf_cross_sep,3059,0.12394869423086052,0.008898970755112454,72.56690102371881,62.71,ok
urban_streets/brasilia,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",179,230,cf_cross_sep,4,0.03583393898201185,0.0002955663442716856,47.54372206629101,10.03,ok
urban_streets/irvine2,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",178,189,cf_cross_sep,0,0.03618753279662765,0.0005333730467835855,47.1420567196243,6.38,ok
ugandan_village/health-advice_12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",218,534,cf_cross_sep,4370,0.15332705990344542,0.010187896867830745,74.27835407742643,61.54,ok
ugandan_village/health-advice_10,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",204,820,cf_cross_sep,18257,0.14291734904912745,0.009333930899293885,79.95158123293469,86.05,ok
urban_streets/new-delhi,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",252,328,cf_cross_sep,0,0.031637606905462475,0.0002199134083089605,49.442851755046746,14.12,ok
urban_streets/los-angeles,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",240,339,cf_cross_sep,5,0.03666640981150242,0.0002969708536907019,48.22765253833182,18.1,ok
urban_streets/new-york,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",248,418,cf_cross_sep,20,0.03339816559656987,0.00038929528054843903,44.46639951967709,21.18,ok
urban_streets/walnut-creek,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",169,196,cf_cross_sep,1,0.03648692882240839,0.0003199823349732953,50.357397004224445,7.66,ok
urban_streets/bologna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",541,771,cf_cross_sep,1,0.024172216241397856,0.00010180577347079278,48.77464941573909,58.87,ok
zebras,"[""Animal"", ""Metadata"", ""Social"", ""Unweighted""]",23,105,cf_cross_sep,475,0.18449451583408236,0.009533841726953695,47.374146551650355,4.13,ok
urban_streets/london,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",488,729,cf_cross_sep,2,0.02563598785261477,0.0001073620218965417,48.60394227322204,51.64,ok
urban_streets/savannah,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",584,958,cf_cross_sep,0,0.026695518488139766,0.00011925903236329244,45.04344059276727,37.68,ok
windsurfers,"[""Offline"", ""Social"", ""Weighted""]",43,336,cf_cross_sep,3789,0.2280360748234078,0.015317345566260182,26.47440438046525,16.95,ok
urban_streets/vienna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",467,691,cf_cross_sep,0,0.03284283562071208,0.00020040655262783494,48.91954242438907,43.18,ok
ugandan_village/health-advice_16,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",349,862,cf_cross_sep,11359,0.1353264130479078,0.010341453324151323,76.99033575171272,108.12,ok
